log_id,timestamp,user_id,action,entity_type,entity_id,details,ip_address,result
1,2026-05-07T14:49:40.542301,134,data.export_large,Incident,158,User Felix Rahman performed data.export_large on Incident#158,10.3.2.168,Success
2,2026-04-30T09:05:40.542334,14,deployment.triggered,Report,47,User Fatima Novak performed deployment.triggered on Report#47,10.1.6.85,Success
3,2026-06-06T03:31:40.542343,29,change.approved,Report,126,Change Management event — change.approved on Report#126 from IP 10.0.2.145,10.3.8.197,Failure
4,2026-06-09T15:37:40.542349,128,data.view_sensitive,Project,176,User Ahmed Patel performed data.view_sensitive on Project#176,10.2.4.250,Success
5,2026-05-21T12:35:40.542355,48,release.promoted,Configuration,12,Admin action: release.promoted | Configuration#12 | Result: Success,10.3.1.210,Success
6,2026-06-07T13:41:40.542361,132,admin.role_assignment,Project,26,Admin action: admin.role_assignment | Project#26 | Result: Success,10.0.1.134,Success
7,2026-05-04T17:04:40.542366,148,deployment.triggered,Release,179,Deployment event — deployment.triggered on Release#179 from IP 10.4.4.192,10.4.0.242,Success
8,2026-06-24T09:22:40.542371,26,incident.resolved,Configuration,122,User Ravi Johnson performed incident.resolved on Configuration#122,10.0.4.52,Success
9,2026-05-08T00:51:40.542376,76,user.login_failed,Release,122,User Samuel Lee performed user.login_failed on Release#122,10.0.1.142,Success
10,2026-06-03T03:07:40.542381,19,admin.config_update,Product,171,Admin action: admin.config_update | Product#171 | Result: Blocked,10.1.6.246,Blocked
11,2026-05-07T14:14:40.542386,14,deployment.rollback,Product,150,Action: deployment.rollback | Target: Product/150 | Source: web-ui,10.1.9.95,Success
12,2026-06-21T00:59:40.542390,119,user.mfa_enabled,User,96,Authentication event — user.mfa_enabled on User#96 from IP 10.3.3.213,10.3.7.197,Success
13,2026-05-19T09:54:40.542396,4,incident.created,ChangeRequest,36,Action: incident.created | Target: ChangeRequest/36 | Source: web-ui,10.4.2.212,Success
14,2026-06-16T12:25:40.542400,141,deployment.rollback,APIKey,55,Admin action: deployment.rollback | APIKey#55 | Result: Success,10.0.4.146,Success
15,2026-06-20T02:17:40.542405,31,user.mfa_enabled,Report,38,Admin action: user.mfa_enabled | Report#38 | Result: Blocked,10.1.0.159,Blocked
16,2026-05-26T04:46:40.542410,124,admin.role_assignment,Release,58,Authorization event — admin.role_assignment on Release#58 from IP 10.0.2.196,10.2.5.116,Success
17,2026-05-01T21:56:40.542415,52,user.login,Release,101,Action: user.login | Target: Release/101 | Source: web-ui,10.3.0.234,Failure
18,2026-04-13T01:31:40.542421,123,change.rejected,Product,62,Automated change.rejected triggered for Product#62,10.3.8.176,Success
19,2026-06-17T18:52:40.542426,125,user.login,Project,144,User Camila Brown performed user.login on Project#144,10.2.3.213,Success
20,2026-04-06T07:30:40.542431,119,data.export,ChangeRequest,119,Data Access event — data.export on ChangeRequest#119 from IP 10.3.9.12,10.1.9.223,Success
21,2026-03-31T23:05:40.542436,144,deployment.rollback,Configuration,194,Admin action: deployment.rollback | Configuration#194 | Result: Success,10.3.8.168,Success
22,2026-06-16T19:18:40.542441,34,change.approved,APIKey,87,Admin action: change.approved | APIKey#87 | Result: Blocked,10.3.9.193,Blocked
