email_id,sender_id,recipient_ids,cc_ids,subject,body_preview,sent_timestamp,thread_id,related_project_id,related_customer_id,related_incident_id,priority,has_attachment
1,98,"7,135",,Sentinel Security Suite release planning — feedback requested,Can someone from engineering review PR #3421? It addresses the Incident #57 root cause and needs sign-off before we can close the change request.,2025-02-04T11:15:00,1,,42,57,Medium,true
2,140,2,"25,11",Weekly engineering sync notes,All-hands reminder: Security quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2024-10-30T14:57:00,1,22,,,Low,false
3,111,"28,7,30",,InsightFlow Analytics release planning — feedback requested,"Hi all, please review the attached TechCorp AI Core release notes. We're targeting a staged rollout starting next Tuesday.",2024-11-29T16:14:00,2,15,29,,Medium,false
4,111,"28,5,20,9","4,52",department all-hands follow-up,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2024-11-11T09:10:00,,,,,Low,false
5,48,25,30,Compliance audit findings — action required,Quick update — the Sao Paulo Industrial Group onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2024-07-05T16:37:00,2,21,39,,High,false
6,21,"16,6,14",,Weekly engineering sync notes,Post-mortem notes for Incident #19 are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2025-04-01T11:25:00,1,,,19,Low,true
7,116,"2,11,9",7,Post-incident review: production issue,Following up on our architecture review. The Self-Service Support Portal data model changes need approval before we proceed with the migration.,2024-11-14T12:17:00,3,8,31,,High,false
8,15,25,,Post-incident review: production issue,"Hi all, please review the attached InsightFlow Analytics release notes. We're targeting a staged rollout starting next Tuesday.",2024-10-03T16:01:00,2,,,,High,true
9,50,"19,22,15",,Integration issue: InsightFlow Analytics + Urban Harvest Grocers SSO config,"Hi all, please review the attached CustomerIQ release notes. We're targeting a staged rollout starting next Tuesday.",2024-12-20T14:38:00,,15,24,,High,false
10,136,"7,1,28,43",,department all-hands follow-up,Following up on our architecture review. The the project data model changes need approval before we proceed with the migration.,2025-03-15T11:41:00,1,,45,2,Low,false
11,11,"41,35,8",,Re: Q3 initiative — status update needed,Can someone from engineering review PR #3421? It addresses the the incident root cause and needs sign-off before we can close the change request.,2025-03-09T14:19:00,1,,17,,Medium,false
12,113,"9,35,135",,department all-hands follow-up,Quick update — the the customer onboarding is on track. Nia Rossi has the account plan and we're looking at Q3 go-live.,2025-02-15T17:45:00,3,,,,Low,false
13,83,"34,10,35,52",,Onboarding: customer go-live next week,All-hands reminder: Security quarterly review is Thursday. Slides due EOD Wednesday to Fatima Chen.,2024-12-03T13:47:00,4,2,,,Medium,true
14,46,"22,9,1",,Sprint planning — Q3 initiative backlog prioritization,The TechCorp AI Core billing integration is throwing errors for the customer. We've opened ticket #50 and engaged the platform team.,2024-10-30T09:47:00,5,,,,Medium,true
15,43,"16,11,13",52,Compliance audit findings — action required,"Hi all, please review the attached TeamSync Collaboration release notes. We're targeting a staged rollout starting next Tuesday.",2024-09-03T16:39:00,,,,15,High,true
16,48,"2,11",,Integration issue: TechCorp AI Core + customer SSO config,Post-mortem notes for the incident are in the shared drive. Key finding: the alert fired 12 minutes before customer impact but wasn't triaged.,2025-03-28T08:31:00,6,10,,,High,false
