issue_id,issue_key,summary,description,issue_type,status,priority,reporter_id,assignee_id,project_id,epic_id,sprint,story_points,created_date,updated_date,resolved_date,related_incident_id
1,TC-0001,[EPIC] RAG Pipeline v2 Migration,Epic tracking rag pipeline v2 migration initiative across multiple sprints.,Epic,In Progress,High,43,43,9,,,,2024-09-24,2025-06-28,,
2,TC-0002,[EPIC] Security Compliance Q3,Epic tracking security compliance q3 initiative across multiple sprints.,Epic,In Progress,High,16,16,21,,,,2025-03-04,2025-06-28,,
3,TC-0003,[EPIC] Platform Observability,Epic tracking platform observability initiative across multiple sprints.,Epic,In Progress,High,19,19,11,,,,2024-11-02,2025-06-28,,
4,TC-0004,[EPIC] CustomerIQ Feature Parity,Epic tracking customeriq feature parity initiative across multiple sprints.,Epic,In Progress,High,18,18,21,,,,2024-09-18,2025-06-28,,
5,TC-0005,[EPIC] Data Lake Modernization,Epic tracking data lake modernization initiative across multiple sprints.,Epic,In Progress,High,46,46,6,,,,2025-02-24,2025-06-28,,
6,TC-0006,Implement chunking strategy for RAG documents,Implement chunking strategy for RAG documents. Details in linked documents.,Story,In Review,Low,80,81,18,2,,13,2024-11-02,2024-11-17,,
7,TC-0007,Add monitoring dashboard for RAG pipeline latency,Add monitoring dashboard for RAG pipeline latency. Details in linked documents.,Task,Done,High,47,43,3,,,1,2025-01-28,2025-02-22,2025-02-23,
8,TC-0008,Fix token counting discrepancy in prompt builder,Fix token counting discrepancy in prompt builder. Details in linked documents.,Bug,Done,Medium,15,7,17,5,2025-S1,,2024-07-31,2024-08-11,2024-08-11,
9,TC-0009,SOC2 audit evidence collection,SOC2 audit evidence collection. Details in linked documents.,Task,In Review,Low,2,42,12,4,,5,2025-01-05,2025-01-20,,
10,TC-0010,Implement structured logging for all microservices,Implement structured logging for all microservices. Details in linked documents.,Story,In Progress,High,3,82,17,1,,1,2024-11-19,2024-12-15,,
11,TC-0011,Fix memory leak in embedding service,Fix memory leak in embedding service. Details in linked documents.,Bug,In Progress,Highest,28,1,11,3,2025-S3,,2024-11-11,2024-11-24,,29
12,TC-0012,Build customer segmentation model v2,Build customer segmentation model v2. Details in linked documents.,Story,Done,High,17,87,2,,,8,2024-11-17,2024-12-12,2024-12-12,
13,TC-0013,Set up distributed tracing across services,Set up distributed tracing across services. Details in linked documents.,Task,Done,Medium,36,84,12,,,2,2025-06-12,2025-07-01,2025-07-06,
14,TC-0014,Fix race condition in subscription renewal job,Fix race condition in subscription renewal job. Details in linked documents.,Bug,In Progress,Medium,80,43,3,3,2025-S5,,2025-06-11,2025-07-02,,
15,TC-0015,Design new analytics dashboard for customer health score,Design new analytics dashboard for customer health score. Details in linked documents.,Story,Done,High,18,87,25,2,2025-S4,3,2024-07-30,2024-08-29,2024-08-29,
16,TC-0016,Migrate CI/CD pipeline to GitHub Actions,Migrate CI/CD pipeline to GitHub Actions. Details in linked documents.,Task,Done,Low,47,90,17,5,2025-S3,13,2024-11-11,2024-11-30,2024-12-02,
17,TC-0017,Fix incident alert deduplication logic,Fix incident alert deduplication logic. Details in linked documents.,Bug,In Review,Medium,3,47,4,1,2025-S6,,2024-11-12,2024-12-07,,
18,TC-0018,Implement feature flags framework,Implement feature flags framework. Details in linked documents.,Story,To Do,Low,36,81,23,5,2025-S3,2,2024-06-28,2024-07-20,,
19,TC-0019,Write integration tests for API v2 endpoints,Write integration tests for API v2 endpoints. Details in linked documents.,Task,Done,Medium,47,82,17,2,,2,2024-10-18,2024-11-04,2024-11-08,
20,TC-0020,Fix API rate limit counter reset at midnight UTC,Fix API rate limit counter reset at midnight UTC. Details in linked documents.,Bug,In Progress,Low,24,43,20,,2025-S4,,2024-10-25,2024-11-18,,
21,TC-0021,Build self-service data export portal,Build self-service data export portal. Details in linked documents.,Story,Done,Low,40,43,11,,2025-S6,8,2025-01-02,2025-01-28,2025-02-01,
22,TC-0022,Capacity planning automation for Q4 scaling,Capacity planning automation for Q4 scaling. Details in linked documents.,Task,Done,Medium,31,46,25,,2025-S1,1,2024-10-05,2024-10-10,2024-10-11,
23,TC-0023,Fix OAuth flow for SSO customers behind proxy,Fix OAuth flow for SSO customers behind proxy. Details in linked documents.,Bug,Done,Highest,39,49,12,,2025-S3,,2025-05-18,2025-06-07,2025-06-11,41
24,TC-0024,Implement audit log retention policies per SOC2,Implement audit log retention policies per SOC2. Details in linked documents.,Story,To Do,Low,14,40,17,,2025-S5,2,2025-04-01,2025-04-24,,
25,TC-0025,Create Terraform modules for new AWS regions,Create Terraform modules for new AWS regions. Details in linked documents.,Task,In Progress,Medium,16,80,1,5,2025-S2,8,2024-11-26,2024-11-26,,
26,TC-0026,Fix cross-tenant data leakage in search index,Fix cross-tenant data leakage in search index. Details in linked documents.,Bug,Done,Highest,34,1,21,,2025-S6,,2024-12-02,2024-12-04,2024-12-09,29
27,TC-0027,Build recommendation engine A/B testing framework,Build recommendation engine A/B testing framework. Details in linked documents.,Story,In Review,Medium,21,89,15,5,2025-S6,3,2025-01-02,2025-01-06,,
28,TC-0028,Set up automated dependency vulnerability scanning,Set up automated dependency vulnerability scanning. Details in linked documents.,Task,Done,Low,26,41,11,1,2025-S2,2,2025-05-09,2025-06-08,2025-06-11,
29,TC-0029,Fix webhook signature verification for Shopify connector,Fix webhook signature verification for Shopify connector. Details in linked documents.,Bug,Done,Medium,21,50,6,,,,2025-01-18,2025-01-23,2025-01-26,
30,TC-0030,Implement customer-facing status page,Implement customer-facing status page. Details in linked documents.,Story,Done,Medium,3,7,16,4,2025-S2,2,2024-09-02,2024-09-03,2024-09-05,
31,TC-0031,Database connection pool tuning for peak load,Database connection pool tuning for peak load. Details in linked documents.,Task,In Review,Medium,32,89,10,,,5,2025-04-20,2025-05-13,,
32,TC-0032,Fix incorrect timezone handling in scheduled reports,Fix incorrect timezone handling in scheduled reports. Details in linked documents.,Bug,Done,Low,20,82,2,5,2025-S3,,2024-09-17,2024-09-29,2024-10-03,
33,TC-0033,Build internal tools for support team triage,Build internal tools for support team triage. Details in linked documents.,Story,To Do,Low,2,42,5,,2025-S3,8,2024-12-22,2024-12-28,,
34,TC-0034,Upgrade Python runtime to 3.14 across all services,Upgrade Python runtime to 3.14 across all services. Details in linked documents.,Task,In Progress,Low,26,84,17,1,2025-S3,5,2024-10-05,2024-10-24,,
35,TC-0035,Fix deadlock in notification dispatch worker,Fix deadlock in notification dispatch worker. Details in linked documents.,Bug,In Progress,Low,44,79,20,4,,,2025-01-25,2025-02-10,,
36,TC-0036,Document DataVault Backup API rate limits,Document DataVault Backup API rate limits. See linked documents for full context.,Story,Done,Low,127,3,16,1,2025-S4,8,2024-12-21,2025-01-05,2024-12-30,
37,TC-0037,Update monitoring thresholds for CustomerIQ,Update monitoring thresholds for CustomerIQ. See linked documents for full context.,Bug,In Progress,Medium,93,73,21,2,,,2025-04-01,2025-04-02,,
38,TC-0038,Update monitoring thresholds for TechCorp AI Core,Update monitoring thresholds for TechCorp AI Core. See linked documents for full context.,Bug,Done,Medium,67,46,23,,,,2024-11-25,2024-12-14,2024-12-25,
39,TC-0039,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Task,Done,Low,81,29,24,2,,5,2024-09-13,2024-09-30,2024-09-24,
40,TC-0040,Add request ID propagation across services,Add request ID propagation across services. See linked documents for full context.,Story,Done,Medium,73,27,18,,2025-S3,5,2025-02-21,2025-03-03,2025-03-09,
41,TC-0041,Add health check endpoint for TeamSync Collaboration worker,Add health check endpoint for TeamSync Collaboration worker. See linked documents for full context.,Story,In Progress,Medium,16,92,12,,,2,2024-07-16,2024-07-25,,
42,TC-0042,Improve error messages in InsightFlow Analytics configuration,Improve error messages in InsightFlow Analytics configuration. See linked documents for full context.,Task,Done,Low,141,67,2,5,2025-S2,3,2024-07-27,2024-07-31,2024-07-31,
43,TC-0043,Refactor auth middleware for DataVault Backup,Refactor auth middleware for DataVault Backup. See linked documents for full context.,Bug,Done,Medium,7,105,20,4,2025-S1,,2024-09-29,2024-10-02,2024-10-21,
44,TC-0044,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Bug,In Progress,Medium,103,142,1,1,2025-S3,,2024-10-27,2024-10-29,,
45,TC-0045,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Task,To Do,Medium,62,135,8,3,2025-S4,1,2025-03-29,2025-03-29,,
46,TC-0046,Improve error messages in CustomerIQ configuration,Improve error messages in CustomerIQ configuration. See linked documents for full context.,Task,In Progress,Low,41,69,10,,2025-S2,2,2024-08-03,2024-08-06,,
47,TC-0047,Add health check endpoint for TechCorp AI Core worker,Add health check endpoint for TechCorp AI Core worker. See linked documents for full context.,Task,To Do,Low,111,26,11,,,2,2025-06-20,2025-06-25,,
48,TC-0048,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Task,In Progress,Medium,80,48,20,2,2025-S2,1,2025-05-14,2025-05-22,,
49,TC-0049,Add health check endpoint for InsightFlow Analytics worker,Add health check endpoint for InsightFlow Analytics worker. See linked documents for full context.,Task,In Progress,Low,146,49,13,2,2025-S3,1,2025-01-24,2025-01-27,,
50,TC-0050,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Bug,To Do,Low,107,78,15,,,,2024-07-02,2024-07-11,,
51,TC-0051,Document InsightFlow Analytics API rate limits,Document InsightFlow Analytics API rate limits. See linked documents for full context.,Bug,In Progress,Medium,20,69,8,,,,2024-08-21,2024-08-27,,
52,TC-0052,Migrate deprecated endpoints to v2,Migrate deprecated endpoints to v2. See linked documents for full context.,Task,In Progress,High,68,82,22,5,,8,2024-07-02,2024-07-08,,
53,TC-0053,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Bug,In Progress,Low,48,132,19,,,,2024-10-04,2024-10-06,,
54,TC-0054,Clean up unused database indexes,Clean up unused database indexes. See linked documents for full context.,Task,In Progress,Medium,80,62,15,,2025-S6,5,2024-11-06,2024-11-14,,
55,TC-0055,Add request ID propagation across services,Add request ID propagation across services. See linked documents for full context.,Bug,Done,High,10,6,1,,2025-S1,,2024-11-23,2024-12-08,2024-11-25,
56,TC-0056,Improve error messages in TechCorp AI Core configuration,Improve error messages in TechCorp AI Core configuration. See linked documents for full context.,Task,To Do,Medium,137,55,6,5,,2,2024-11-10,2024-11-30,,
57,TC-0057,Migrate deprecated endpoints to v2,Migrate deprecated endpoints to v2. See linked documents for full context.,Bug,To Do,High,57,82,12,,2025-S1,,2025-04-23,2025-05-07,,
58,TC-0058,Refactor auth middleware for Sentinel Security Suite,Refactor auth middleware for Sentinel Security Suite. See linked documents for full context.,Task,Done,High,34,69,18,4,2025-S6,8,2025-01-01,2025-01-01,2025-01-09,
59,TC-0059,Add request ID propagation across services,Add request ID propagation across services. See linked documents for full context.,Task,To Do,High,5,68,7,,,5,2024-08-25,2024-09-08,,
60,TC-0060,Update monitoring thresholds for TeamSync Collaboration,Update monitoring thresholds for TeamSync Collaboration. See linked documents for full context.,Bug,Done,Low,18,78,8,5,,,2025-01-30,2025-02-09,2025-02-07,
61,TC-0061,Set up load testing framework,Set up load testing framework. See linked documents for full context.,Bug,In Progress,High,43,40,5,,2025-S6,,2025-05-27,2025-06-09,,
62,TC-0062,Migrate deprecated endpoints to v2,Migrate deprecated endpoints to v2. See linked documents for full context.,Task,In Progress,Low,46,109,2,,2025-S2,2,2024-11-26,2024-12-05,,
