incident_id,title,description,severity,status,reported_by,assigned_to,product_id,customer_id,related_ticket_id,created_at,resolved_at,root_cause,affected_duration_minutes
1,SSO authentication failure for Sunrise Medical Devices,SSO integration returning 500 errors for all Sunrise Medical Devices users. Certificate expired at 03:14 UTC.,P1,Resolved,36,49,1,18,53,2024-09-21T00:00:00,2024-09-23T00:00:00,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,31
2,SSO authentication failure for InnoSys Dynamics,SSO integration returning 500 errors for all InnoSys Dynamics users. Certificate expired at 03:14 UTC.,P1,Resolved,7,138,1,33,334,2024-11-25T00:00:00,2024-11-26T00:00:00,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,429
3,Data export service degradation,CSV exports intermittently timing out for datasets >50k rows. Queue backlog growing.,P3,Resolved,79,52,4,,,2025-01-06T00:00:00,2025-01-08T00:00:00,Export worker pool scaled down during cost optimization (change #23). Min replicas set too low.,64
4,DDoS mitigation triggered on  tenant,Legitimate traffic from  flagged as DDoS. False positive in WAF rule set.,P2,Closed,12,149,7,,65,2025-05-18T00:00:00,2025-05-19T00:00:00,WAF rule threshold tuned too aggressively. 's bulk API usage pattern resembles attack signature.,310
5,SSO authentication failure for Northern Trust Bank,SSO integration returning 500 errors for all Northern Trust Bank users. Certificate expired at 03:14 UTC.,P1,Resolved,39,40,7,15,,2025-02-05T00:00:00,2025-02-06T00:00:00,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,98
6,DDoS mitigation triggered on Sunrise Medical Devices tenant,Legitimate traffic from Sunrise Medical Devices flagged as DDoS. False positive in WAF rule set.,P2,Resolved,3,141,6,18,276,2025-04-05T00:00:00,2025-04-06T00:00:00,WAF rule threshold tuned too aggressively. Sunrise Medical Devices's bulk API usage pattern resembles attack signature.,342
7,Cross-region failover not triggering for APAC customers,"Singapore region down, failover to Tokyo did not engage. 200+ EcoWare Manufacturing users affected.",P1,Resolved,52,49,7,21,,2025-02-10T00:00:00,2025-02-11T00:00:00,Route53 health check threshold configured for US latency profiles. APAC checks timing out before threshold.,123
8,Email notification pipeline down since deployment,Zero notifications delivered for 6 hours. SMTP relay configuration overwritten during deployment.,P1,Resolved,87,44,8,42,129,2024-09-25T00:00:00,2024-09-27T00:00:00,Deployment script did not preserve environment-specific SMTP config. Regression in CI/CD parameterization.,474
9,Database replication lag causing read inconsistencies,Read replica lagging 45s behind primary. Customers seeing stale subscription data.,P2,Resolved,90,90,3,9,25,2024-08-10T00:00:00,2024-08-12T00:00:00,Bulk update job for billing cycle consumed replication capacity. No rate limiting on write throughput.,320
10,Database replication lag causing read inconsistencies,Read replica lagging 45s behind primary. Customers seeing stale subscription data.,P2,Closed,37,138,1,30,,2025-04-30T00:00:00,2025-05-02T00:00:00,Bulk update job for billing cycle consumed replication capacity. No rate limiting on write throughput.,399
11,DDoS mitigation triggered on TechBridge Solutions tenant,Legitimate traffic from TechBridge Solutions flagged as DDoS. False positive in WAF rule set.,P2,In Progress,31,88,5,28,376,2024-10-14T00:00:00,,WAF rule threshold tuned too aggressively. TechBridge Solutions's bulk API usage pattern resembles attack signature.,0
12,SSO authentication failure for ,SSO integration returning 500 errors for all  users. Certificate expired at 03:14 UTC.,P1,Closed,1,143,1,,105,2025-04-06T00:00:00,2025-04-08T00:00:00,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,15
13,DDoS mitigation triggered on MediCare Plus tenant,Legitimate traffic from MediCare Plus flagged as DDoS. False positive in WAF rule set.,P2,Closed,81,7,2,8,128,2025-05-15T00:00:00,2025-05-15T00:00:00,WAF rule threshold tuned too aggressively. MediCare Plus's bulk API usage pattern resembles attack signature.,404
14,Data export service degradation,CSV exports intermittently timing out for datasets >50k rows. Queue backlog growing.,P3,Resolved,31,51,4,31,,2024-08-21T00:00:00,2024-08-22T00:00:00,Export worker pool scaled down during cost optimization (change #49). Min replicas set too low.,291
15,API rate limiting incorrectly applied to internal services,Internal microservices receiving 429 errors. Rate limit config deployed to wrong namespace.,P2,Resolved,83,145,8,,231,2025-04-27T00:00:00,2025-04-27T00:00:00,Infrastructure-as-code change applied production rate limits to staging namespace by default.,188
16,Privilege escalation vulnerability in TechCorp AI Core,Bug in role-based access allows read-only users to access admin endpoints via crafted API call.,P2,Investigating,35,12,1,38,332,2025-05-24T00:00:00,,Authorization middleware missing check on nested resource paths. Found during penetration test.,0
17,SSO authentication failure for Sunrise Medical Devices,SSO integration returning 500 errors for all Sunrise Medical Devices users. Certificate expired at 03:14 UTC.,P1,Resolved,89,48,10,18,382,2024-09-05T00:00:00,2024-09-07T00:00:00,Automated certificate renewal cron failed silently. Monitoring gap — no alert for expiring certificates.,428
18,API rate limiting incorrectly applied to internal services,Internal microservices receiving 429 errors. Rate limit config deployed to wrong namespace.,P2,Closed,85,81,1,43,247,2024-07-18T00:00:00,2024-07-18T00:00:00,Infrastructure-as-code change applied production rate limits to staging namespace by default.,46
19,DDoS mitigation triggered on  tenant,Legitimate traffic from  flagged as DDoS. False positive in WAF rule set.,P2,Resolved,27,50,6,,284,2024-11-23T00:00:00,2024-11-25T00:00:00,WAF rule threshold tuned too aggressively. 's bulk API usage pattern resembles attack signature.,142
20,Email notification pipeline down since deployment,Zero notifications delivered for 6 hours. SMTP relay configuration overwritten during deployment.,P1,Resolved,27,52,2,,287,2025-02-26T00:00:00,2025-02-28T00:00:00,Deployment script did not preserve environment-specific SMTP config. Regression in CI/CD parameterization.,261
21,Database replication lag causing read inconsistencies,Read replica lagging 45s behind primary. Customers seeing stale subscription data.,P2,Resolved,31,83,1,,206,2024-11-07T00:00:00,2024-11-10T00:00:00,Bulk update job for billing cycle consumed replication capacity. No rate limiting on write throughput.,353
22,Email notification pipeline down since deployment,Zero notifications delivered for 6 hours. SMTP relay configuration overwritten during deployment.,P1,Resolved,34,52,8,19,290,2025-01-18T00:00:00,2025-01-20T00:00:00,Deployment script did not preserve environment-specific SMTP config. Regression in CI/CD parameterization.,272
