change_id,title,description,change_type,status,requester_id,approver_id,product_id,project_id,risk_level,created_date,planned_date,completed_date,backout_plan
1,Scale up TeamSync Collaboration compute capacity for Q4 peak,Increase auto-scaling max from 50 to 80 nodes. Capacity planning projects 35% Q4 traffic growth.,Standard,Completed,40,7,9,7,Low,2024-05-26,2024-06-04,2024-06-05,Reduce auto-scaling max back to 50. No service interruption.
2,Apply security patches for OS-level vulnerabilities,Monthly security patching cycle. Rolling update across all nodes in the cluster.,Standard,Approved,87,4,11,,Low,2025-04-12,2025-04-19,,Node-level rollback via AMI snapshot. Individual node recovery time < 5 min.
3,Emergency hotfix: Incident #36 mitigation,Mitigate production incident with immediate code change. Tested on staging with incident reproduction.,Emergency,Approved,82,2,5,,High,2024-08-19,2024-08-30,,Revert commit and redeploy. manual verification required due to incident urgency.
4,Enable new audit logging framework for Sentinel Security Suite,Switch from legacy audit pipeline to structured JSON logging. Dual-write period of 1 week.,Normal,Approved,52,12,6,,Medium,2025-01-21,2025-01-27,,"Disable new pipeline, revert to legacy logger. No data loss in dual-write period."
5,Enable new audit logging framework for TechCorp AI Core,Switch from legacy audit pipeline to structured JSON logging. Dual-write period of 1 week.,Normal,Completed,46,7,2,,Medium,2025-02-08,2025-02-22,2025-02-27,"Disable new pipeline, revert to legacy logger. No data loss in dual-write period."
6,Scale up TechCorp AI Core compute capacity for Q4 peak,Increase auto-scaling max from 50 to 80 nodes. Capacity planning projects 35% Q4 traffic growth.,Standard,Approved,1,7,2,,Low,2024-11-26,2024-12-01,,Reduce auto-scaling max back to 50. No service interruption.
7,Rotate SSL certificates for InsightFlow Analytics production,Annual certificate rotation. New certs pre-deployed to all nodes. Cutover via load balancer config update.,Standard,Approved,1,7,5,2,Low,2024-07-07,2024-07-17,,Revert to previous certificate bundle. Propagation < 2 minutes.
8,Scale up TeamSync Collaboration compute capacity for Q4 peak,Increase auto-scaling max from 50 to 80 nodes. Capacity planning projects 35% Q4 traffic growth.,Standard,Approved,46,4,8,11,Low,2025-01-20,2025-01-30,,Reduce auto-scaling max back to 50. No service interruption.
9,Migrate {customer} tenant to dedicated infrastructure,Isolate high-volume customer onto dedicated database and compute. DNS cutover during maintenance window.,Normal,In Review,52,7,8,21,Medium,2025-03-14,2025-03-26,,Point DNS back to shared infrastructure. Data sync runs continuously during migration.
10,Emergency hotfix: Incident #56 mitigation,Mitigate production incident with immediate code change. Tested on staging with incident reproduction.,Emergency,Completed,85,7,2,,High,2024-09-04,2024-09-13,2024-09-16,Revert commit and redeploy. manual verification required due to incident urgency.
11,Migrate {customer} tenant to dedicated infrastructure,Isolate high-volume customer onto dedicated database and compute. DNS cutover during maintenance window.,Normal,Approved,52,4,5,,Medium,2025-02-12,2025-02-25,,Point DNS back to shared infrastructure. Data sync runs continuously during migration.
12,Deploy RAG pipeline model update v2.3,"New embedding model with 15% recall improvement. Shadow deployment first, then gradual traffic shift.",Normal,Completed,4,7,3,18,Medium,2025-05-28,2025-06-06,2025-06-10,Revert model artifact version in feature store. Cache flush required.
13,Scale up TechCorp AI Core compute capacity for Q4 peak,Increase auto-scaling max from 50 to 80 nodes. Capacity planning projects 35% Q4 traffic growth.,Standard,Approved,1,2,1,23,Low,2025-04-23,2025-05-06,,Reduce auto-scaling max back to 50. No service interruption.
14,Emergency hotfix: Incident #39 mitigation,Mitigate production incident with immediate code change. Tested on staging with incident reproduction.,Emergency,Approved,44,12,7,8,High,2025-03-18,2025-03-22,,Revert commit and redeploy. manual verification required due to incident urgency.
15,Scale up TeamSync Collaboration compute capacity for Q4 peak,Increase auto-scaling max from 50 to 80 nodes. Capacity planning projects 35% Q4 traffic growth.,Standard,Completed,7,2,8,23,Low,2025-01-10,2025-01-21,2025-01-24,Reduce auto-scaling max back to 50. No service interruption.
16,Upgrade Sentinel Security Suite database to v15.2,Routine minor version upgrade. Tested in staging for 2 weeks. Rolling upgrade with zero-downtime.,Standard,Rejected,51,4,7,,Low,2025-04-13,2025-04-19,,Point read replica to previous version. Failover if issues detected within 30min window.
17,Upgrade CustomerIQ database to v15.2,Routine minor version upgrade. Tested in staging for 2 weeks. Rolling upgrade with zero-downtime.,Standard,Completed,80,7,11,,Low,2024-10-01,2024-10-12,2024-10-14,Point read replica to previous version. Failover if issues detected within 30min window.
18,Migrate {customer} tenant to dedicated infrastructure,Isolate high-volume customer onto dedicated database and compute. DNS cutover during maintenance window.,Normal,Approved,40,2,11,,Medium,2024-12-02,2024-12-11,,Point DNS back to shared infrastructure. Data sync runs continuously during migration.
19,Deploy RAG pipeline model update v2.3,"New embedding model with 15% recall improvement. Shadow deployment first, then gradual traffic shift.",Normal,In Review,90,12,3,23,Medium,2024-06-24,2024-07-03,,Revert model artifact version in feature store. Cache flush required.
20,Upgrade TeamSync Collaboration database to v15.2,Routine minor version upgrade. Tested in staging for 2 weeks. Rolling upgrade with zero-downtime.,Standard,In Review,79,4,8,9,Low,2024-11-04,2024-11-15,,Point read replica to previous version. Failover if issues detected within 30min window.
21,Apply security patches for OS-level vulnerabilities,Monthly security patching cycle. Rolling update across all nodes in the cluster.,Standard,In Review,82,2,7,17,Low,2024-07-13,2024-07-23,,Node-level rollback via AMI snapshot. Individual node recovery time < 5 min.
22,Scale up TeamSync Collaboration compute capacity for Q4 peak,Increase auto-scaling max from 50 to 80 nodes. Capacity planning projects 35% Q4 traffic growth.,Standard,Rejected,87,2,9,10,Low,2025-03-28,2025-03-31,,Reduce auto-scaling max back to 50. No service interruption.
23,Emergency hotfix: Incident #30 mitigation,Mitigate production incident with immediate code change. Tested on staging with incident reproduction.,Emergency,Rejected,4,2,12,18,High,2025-04-12,2025-04-18,,Revert commit and redeploy. manual verification required due to incident urgency.
24,Deploy RAG pipeline model update v2.3,"New embedding model with 15% recall improvement. Shadow deployment first, then gradual traffic shift.",Normal,Approved,90,12,11,,Medium,2024-09-11,2024-09-25,,Revert model artifact version in feature store. Cache flush required.
25,Apply security patches for OS-level vulnerabilities,Monthly security patching cycle. Rolling update across all nodes in the cluster.,Standard,Completed,83,7,4,5,Low,2024-07-27,2024-08-07,2024-08-08,Node-level rollback via AMI snapshot. Individual node recovery time < 5 min.
26,Scale up Sentinel Security Suite compute capacity for Q4 peak,Increase auto-scaling max from 50 to 80 nodes. Capacity planning projects 35% Q4 traffic growth.,Standard,Approved,52,4,7,17,Low,2025-01-05,2025-01-19,,Reduce auto-scaling max back to 50. No service interruption.
27,Apply security patches for OS-level vulnerabilities,Monthly security patching cycle. Rolling update across all nodes in the cluster.,Standard,Completed,81,12,3,16,Low,2024-08-20,2024-08-31,2024-09-02,Node-level rollback via AMI snapshot. Individual node recovery time < 5 min.
28,Emergency hotfix: Incident #43 mitigation,Mitigate production incident with immediate code change. Tested on staging with incident reproduction.,Emergency,Completed,85,4,10,25,High,2024-12-18,2025-01-01,2025-01-04,Revert commit and redeploy. manual verification required due to incident urgency.
29,Rotate SSL certificates for TeamSync Collaboration production,Annual certificate rotation. New certs pre-deployed to all nodes. Cutover via load balancer config update.,Standard,Approved,43,12,8,,Low,2025-04-08,2025-04-18,,Revert to previous certificate bundle. Propagation < 2 minutes.
30,Upgrade DataVault Backup database to v15.2,Routine minor version upgrade. Tested in staging for 2 weeks. Rolling upgrade with zero-downtime.,Standard,Approved,44,4,12,21,Low,2024-10-01,2024-10-08,,Point read replica to previous version. Failover if issues detected within 30min window.
31,Migrate {customer} tenant to dedicated infrastructure,Isolate high-volume customer onto dedicated database and compute. DNS cutover during maintenance window.,Normal,In Review,83,12,11,11,Medium,2024-07-13,2024-07-27,,Point DNS back to shared infrastructure. Data sync runs continuously during migration.
32,Upgrade CustomerIQ database to v15.2,Routine minor version upgrade. Tested in staging for 2 weeks. Rolling upgrade with zero-downtime.,Standard,Rejected,1,7,10,21,Low,2025-04-13,2025-04-22,,Point read replica to previous version. Failover if issues detected within 30min window.
33,Deploy RAG pipeline model update v2.3,"New embedding model with 15% recall improvement. Shadow deployment first, then gradual traffic shift.",Normal,Approved,7,4,8,10,Medium,2024-12-14,2024-12-17,,Revert model artifact version in feature store. Cache flush required.
34,Migrate {customer} tenant to dedicated infrastructure,Isolate high-volume customer onto dedicated database and compute. DNS cutover during maintenance window.,Normal,Completed,46,7,3,14,Medium,2025-03-01,2025-03-05,2025-03-08,Point DNS back to shared infrastructure. Data sync runs continuously during migration.
35,Emergency hotfix: Incident #43 mitigation,Mitigate production incident with immediate code change. Tested on staging with incident reproduction.,Emergency,Approved,44,7,8,,High,2024-10-05,2024-10-18,,Revert commit and redeploy. manual verification required due to incident urgency.
36,Upgrade TeamSync Collaboration database to v15.2,Routine minor version upgrade. Tested in staging for 2 weeks. Rolling upgrade with zero-downtime.,Standard,Rejected,45,4,8,,Low,2024-10-15,2024-10-23,,Point read replica to previous version. Failover if issues detected within 30min window.
37,Migrate {customer} tenant to dedicated infrastructure,Isolate high-volume customer onto dedicated database and compute. DNS cutover during maintenance window.,Normal,Approved,47,2,12,10,Medium,2024-09-24,2024-09-28,,Point DNS back to shared infrastructure. Data sync runs continuously during migration.
38,Enable new audit logging framework for CustomerIQ,Switch from legacy audit pipeline to structured JSON logging. Dual-write period of 1 week.,Normal,Approved,1,4,10,23,Medium,2024-06-26,2024-07-05,,"Disable new pipeline, revert to legacy logger. No data loss in dual-write period."
39,Upgrade CustomerIQ database to v15.2,Routine minor version upgrade. Tested in staging for 2 weeks. Rolling upgrade with zero-downtime.,Standard,Approved,1,7,10,,Low,2024-07-23,2024-07-31,,Point read replica to previous version. Failover if issues detected within 30min window.
40,Scale up CustomerIQ compute capacity for Q4 peak,Increase auto-scaling max from 50 to 80 nodes. Capacity planning projects 35% Q4 traffic growth.,Standard,Approved,43,4,11,,Low,2024-07-12,2024-07-25,,Reduce auto-scaling max back to 50. No service interruption.
41,Upgrade CustomerIQ database to v15.2,Routine minor version upgrade. Tested in staging for 2 weeks. Rolling upgrade with zero-downtime.,Standard,Completed,40,12,10,5,Low,2024-12-13,2024-12-27,2024-12-28,Point read replica to previous version. Failover if issues detected within 30min window.
42,Enable new audit logging framework for TeamSync Collaboration,Switch from legacy audit pipeline to structured JSON logging. Dual-write period of 1 week.,Normal,Rejected,52,7,9,,Medium,2025-01-18,2025-01-28,,"Disable new pipeline, revert to legacy logger. No data loss in dual-write period."
43,Enable new audit logging framework for TechCorp AI Core,Switch from legacy audit pipeline to structured JSON logging. Dual-write period of 1 week.,Normal,Completed,44,7,2,3,Medium,2024-06-17,2024-07-01,2024-07-04,"Disable new pipeline, revert to legacy logger. No data loss in dual-write period."
44,Enable new audit logging framework for TechCorp AI Core,Switch from legacy audit pipeline to structured JSON logging. Dual-write period of 1 week.,Normal,Completed,4,12,2,,Medium,2024-08-28,2024-09-01,2024-09-06,"Disable new pipeline, revert to legacy logger. No data loss in dual-write period."
45,Scale up CustomerIQ compute capacity for Q4 peak,Increase auto-scaling max from 50 to 80 nodes. Capacity planning projects 35% Q4 traffic growth.,Standard,Completed,82,4,10,21,Low,2024-06-18,2024-06-24,2024-06-28,Reduce auto-scaling max back to 50. No service interruption.
46,Enable new audit logging framework for CustomerIQ,Switch from legacy audit pipeline to structured JSON logging. Dual-write period of 1 week.,Normal,Approved,88,12,10,3,Medium,2024-07-01,2024-07-10,,"Disable new pipeline, revert to legacy logger. No data loss in dual-write period."
47,Upgrade InsightFlow Analytics database to v15.2,Routine minor version upgrade. Tested in staging for 2 weeks. Rolling upgrade with zero-downtime.,Standard,Approved,42,4,5,,Low,2025-01-29,2025-02-09,,Point read replica to previous version. Failover if issues detected within 30min window.
48,Enable new audit logging framework for CustomerIQ,Switch from legacy audit pipeline to structured JSON logging. Dual-write period of 1 week.,Normal,Approved,85,7,11,,Medium,2024-10-29,2024-11-11,,"Disable new pipeline, revert to legacy logger. No data loss in dual-write period."
49,Migrate {customer} tenant to dedicated infrastructure,Isolate high-volume customer onto dedicated database and compute. DNS cutover during maintenance window.,Normal,In Review,48,2,5,12,Medium,2024-10-14,2024-10-20,,Point DNS back to shared infrastructure. Data sync runs continuously during migration.
50,Enable new audit logging framework for TeamSync Collaboration,Switch from legacy audit pipeline to structured JSON logging. Dual-write period of 1 week.,Normal,Approved,81,4,9,,Medium,2024-11-07,2024-11-14,,"Disable new pipeline, revert to legacy logger. No data loss in dual-write period."
