subscription_id,customer_id,product_id,start_date,end_date,status,seats
1,1,7,2022-05-04,,Active,440
2,1,5,2023-03-02,,Active,91
3,1,10,2022-11-18,,Active,130
4,2,7,2024-07-11,,Active,168
5,3,12,2024-07-18,,Active,43
6,3,5,2023-02-10,,Active,38
7,4,5,2022-10-19,,Active,354
8,5,10,2022-09-12,,Active,99
9,5,5,2023-07-12,,Active,66
10,5,8,2022-03-23,,Cancelled,42
11,6,4,2022-02-12,,Trial,345
12,7,3,2024-08-21,,Active,142
13,8,7,2022-07-06,,Active,52
14,8,11,2022-08-03,,Cancelled,98
15,8,8,2023-08-14,2025-03-06,Expired,80
16,9,8,2022-06-30,,Active,6
17,10,7,2024-11-19,,Cancelled,11
18,11,1,2024-11-27,,Active,73
19,11,4,2024-06-24,,Active,80
20,12,8,2022-09-06,,Active,459
21,12,12,2023-05-06,2024-10-11,Expired,332
22,13,2,2022-08-21,,Active,92
23,13,4,2022-11-12,,Active,47
24,14,5,2024-08-25,,Active,246
25,14,7,2023-01-26,,Trial,492
26,14,8,2022-05-23,,Active,224
27,15,5,2023-09-04,,Cancelled,493
28,15,1,2022-11-01,,Active,220
29,15,12,2024-02-12,,Active,407
30,16,4,2024-02-24,,Active,13
31,17,12,2024-02-20,,Active,127
32,17,8,2024-10-11,,Trial,219
33,18,8,2022-07-24,,Active,419
34,19,7,2022-11-13,,Active,43
35,20,12,2023-11-04,,Cancelled,370
36,20,7,2024-09-26,,Cancelled,170
37,20,2,2023-08-12,,Trial,100
38,21,11,2022-07-25,,Active,12
39,22,1,2023-10-27,2025-03-25,Expired,6
40,23,4,2024-12-23,,Active,33
41,24,2,2024-02-23,,Active,73
42,25,4,2024-08-02,,Active,391
43,26,8,2023-08-13,2024-10-31,Expired,66
44,27,5,2023-05-28,,Active,35
45,27,11,2024-09-16,,Active,83
46,27,7,2023-08-29,,Trial,94
47,28,5,2022-01-17,,Active,11
48,29,8,2023-12-23,,Active,178
49,29,5,2022-10-08,,Active,380
50,29,4,2022-03-22,,Active,346
51,30,12,2022-07-04,,Trial,63
52,30,3,2023-02-16,,Active,56
53,31,5,2024-09-13,,Trial,461
54,31,3,2022-08-24,,Active,436
55,31,12,2023-04-08,,Cancelled,237
56,32,7,2022-01-29,,Active,68
57,33,11,2023-06-21,,Active,14
58,34,11,2023-04-24,,Active,217
59,35,10,2023-03-30,,Active,11
60,36,11,2022-08-27,,Active,302
61,36,7,2022-08-26,,Active,119
62,37,8,2024-05-08,,Active,262
63,37,6,2022-07-22,,Cancelled,66
64,38,6,2024-06-29,,Trial,22
65,38,4,2024-01-23,,Active,55
66,38,8,2024-03-26,,Active,68
67,39,4,2022-02-13,,Active,114
68,39,11,2023-02-25,,Active,156
69,39,10,2023-03-19,,Cancelled,453
70,40,10,2022-01-06,,Active,3
71,41,3,2022-02-22,,Active,351
72,41,2,2023-10-26,,Active,114
73,42,7,2022-05-11,,Active,56
74,42,9,2022-08-12,,Active,88
75,42,2,2024-12-03,,Active,13
76,43,7,2022-08-10,,Active,87
77,43,12,2022-06-15,,Active,114
78,44,10,2023-10-28,,Active,77
79,44,11,2024-07-18,,Active,22
80,45,12,2022-08-23,,Cancelled,15
81,46,7,2024-07-13,,Cancelled,68
82,47,12,2023-10-03,,Active,42
83,47,2,2022-11-09,2024-07-08,Expired,21
84,48,2,2024-06-03,,Active,465
85,49,9,2022-05-03,,Active,81
86,50,11,2022-09-08,,Active,14
