message_id,channel_name,sender_id,message_text,sent_timestamp,thread_id,mentioned_user_ids,related_project_id,related_incident_id,reaction_count,is_pinned
1,#announcements,48,Just published the incident post-mortem. Lessons learned doc is in the shared drive.,2025-06-26T22:08:00,,,10,,7,false
2,#product,111,Looking for volunteers to review PRs for the Sentinel Security Suite release. Need 2 approvals.,2025-06-17T07:16:00,,,,4,3,false
3,#proj-knowledge-graph,107,Great work on the Internal Knowledge Graph Build milestone! :tada:,2025-05-23T15:07:00,1,,9,,1,false
4,#random,105,Just deployed the fix for TechCorp AI Core. Monitoring dashboards look clean so far.,2025-05-11T11:03:00,,"30,12",,,1,false
5,#sales,135,Great work on the project milestone! :tada:,2025-06-05T13:55:00,,,,23,1,false
6,#random,54,Can someone from @engineering take a look at the TechCorp AI Core build? It's been failing since this morning.,2025-01-05T10:25:00,,,,,2,false
7,#security,1,Can we get an ETA on the Sentinel Security Suite SSO fix? Chengdu Precision Instruments is blocked.,2025-02-03T11:13:00,6,,,,7,false
8,#engineering,12,Looking for volunteers to review PRs for the TechCorp AI Core release. Need 2 approvals.,2025-01-12T11:07:00,,,9,,1,false
9,#announcements,29,Incident #N/A has been resolved. Root cause was a misconfigured deployment flag.,2025-03-09T20:05:00,,"52,7",,,0,false
10,#customer-success,35,Can someone from @engineering take a look at the TechCorp AI Core build? It's been failing since this morning.,2025-03-11T16:36:00,,,,30,0,false
11,#proj-attribution,21,Looking for volunteers to review PRs for the InsightFlow Analytics release. Need 2 approvals.,2025-01-10T21:11:00,,,24,,5,true
12,#proj-iam,86,Just deployed the fix for TeamSync Collaboration. Monitoring dashboards look clean so far.,2025-04-23T10:27:00,,,11,,3,false
13,#general,41,Great work on the project milestone! :tada:,2025-01-03T19:51:00,,,,,1,false
14,#product,22,Can someone from @engineering take a look at the TechCorp AI Core build? It's been failing since this morning.,2025-03-02T11:30:00,,,1,,2,false
15,#security,129,The TechCorp AI Core dashboard is way faster after the query optimization. Nice work team!,2025-03-10T20:54:00,,,,,2,false
16,#proj-scalability,82,Looking for volunteers to review PRs for the DataVault Backup release. Need 2 approvals.,2025-04-09T09:17:00,7,,25,,7,false
17,#incident-response,142,Just published the incident post-mortem. Lessons learned doc is in the shared drive.,2025-01-29T17:58:00,,,,,3,false
18,#security,83,Can someone from @engineering take a look at the CustomerIQ build? It's been failing since this morning.,2025-05-15T13:10:00,,"1,25",,,3,false
19,#proj-chatbot,88,Customer call with BlueDot Retail Solutions went well. They're excited about the new features.,2025-01-21T14:07:00,18,25,21,,3,false
20,#proj-rag-pipeline,103,Can someone from @engineering take a look at the DataVault Backup build? It's been failing since this morning.,2025-05-31T10:50:00,,,1,,3,false
21,#engineering,146,Customer call with Chengdu Precision Instruments went well. They're excited about the new features.,2025-04-04T11:07:00,4,,,,5,false
22,#general,65,Looking for volunteers to review PRs for the Sentinel Security Suite release. Need 2 approvals.,2025-02-13T20:50:00,,,,,1,false
23,#proj-iam,133,Just deployed the fix for TechCorp AI Core. Monitoring dashboards look clean so far.,2025-03-18T12:27:00,,,11,,0,false
24,#security,8,Reminder: code freeze for the InsightFlow Analytics release starts Friday EOD.,2025-04-01T07:52:00,,,,,1,false
25,#security,119,Reminder: code freeze for the TeamSync Collaboration release starts Friday EOD.,2025-05-27T16:13:00,,"30,1,80",,,0,false
26,#proj-rag-pipeline,38,Can we get an ETA on the InsightFlow Analytics SSO fix? Titanium Manufacturing Ltd is blocked.,2025-02-19T18:07:00,18,,1,,0,false
27,#proj-vendor-risk,86,Just published the incident post-mortem. Lessons learned doc is in the shared drive.,2025-02-02T11:45:00,,"7,30",18,,2,false
28,#proj-rag-pipeline,49,Looking for volunteers to review PRs for the Sentinel Security Suite release. Need 2 approvals.,2025-03-26T19:37:00,,11,1,,3,false
29,#proj-chatbot,124,Customer call with DataStream Analytics went well. They're excited about the new features.,2024-12-30T10:44:00,,,21,,1,true
30,#sales,107,Just deployed the fix for TeamSync Collaboration. Monitoring dashboards look clean so far.,2025-05-23T11:50:00,,"2,1",,,3,false
31,#announcements,80,Can we get an ETA on the Sentinel Security Suite SSO fix? Zenith Capital Partners is blocked.,2025-01-24T11:48:00,27,,18,,0,false
32,#proj-vendor-risk,130,Just published the incident post-mortem. Lessons learned doc is in the shared drive.,2025-05-17T07:36:00,24,"1,30,135",18,,3,false
33,#incident-response,15,The InsightFlow Analytics dashboard is way faster after the query optimization. Nice work team!,2024-12-30T21:05:00,4,,,,5,false
34,#engineering,141,Can we get an ETA on the TechCorp AI Core SSO fix? GlobalLink Telecom is blocked.,2025-06-06T11:19:00,,"11,135",17,,10,false
35,#proj-rag-pipeline,44,Incident #58 has been resolved. Root cause was a misconfigured deployment flag.,2025-02-22T19:07:00,4,25,1,58,1,false
36,#proj-iam,10,Can we get an ETA on the CustomerIQ SSO fix? DataStream Analytics is blocked.,2025-04-12T20:28:00,,,11,,0,false
37,#security,108,Can we get an ETA on the TechCorp AI Core SSO fix? Meridian Financial Group is blocked.,2025-06-13T22:17:00,,52,,,3,false
38,#proj-data-lake,54,The TechCorp AI Core dashboard is way faster after the query optimization. Nice work team!,2025-02-06T15:56:00,,,6,48,2,false
39,#proj-rag-pipeline,100,The CustomerIQ dashboard is way faster after the query optimization. Nice work team!,2025-01-02T11:41:00,,,1,,7,false
40,#general,42,The CustomerIQ dashboard is way faster after the query optimization. Nice work team!,2025-05-28T18:52:00,,,,,2,false
41,#sales,25,Just deployed the fix for TechCorp AI Core. Monitoring dashboards look clean so far.,2025-05-03T14:31:00,24,,,,10,false
42,#product,2,The TechCorp AI Core dashboard is way faster after the query optimization. Nice work team!,2025-05-27T09:08:00,41,"1,30",,,1,false
43,#proj-attribution,76,Looking for volunteers to review PRs for the TeamSync Collaboration release. Need 2 approvals.,2025-01-13T08:54:00,2,,24,,7,false
44,#proj-iam,76,The TeamSync Collaboration dashboard is way faster after the query optimization. Nice work team!,2025-03-20T13:21:00,34,,11,,0,false
45,#customer-success,124,Incident #N/A has been resolved. Root cause was a misconfigured deployment flag.,2025-04-25T14:06:00,,,11,,2,false
46,#proj-rag-pipeline,62,Customer call with Pacific Rim Logistics went well. They're excited about the new features.,2025-01-02T09:50:00,,,1,,0,false
47,#proj-iam,10,The CustomerIQ dashboard is way faster after the query optimization. Nice work team!,2025-03-04T19:29:00,4,,11,,5,false
48,#proj-rag-pipeline,12,Great work on the Deploy RAG Pipeline v2 milestone! :tada:,2025-03-13T22:46:00,,2,1,39,3,false
49,#engineering,9,Can we get an ETA on the Sentinel Security Suite SSO fix? Peak Performance Sports is blocked.,2025-03-26T07:33:00,38,,,,3,false
50,#customer-success,146,Incident #N/A has been resolved. Root cause was a misconfigured deployment flag.,2025-03-01T17:54:00,,,12,,3,false
51,#proj-iam,97,Incident #N/A has been resolved. Root cause was a misconfigured deployment flag.,2025-04-28T22:47:00,30,,11,,5,false
52,#proj-knowledge-graph,52,@channel Heads up: we're seeing increased error rates on TechCorp AI Core. Investigating now.,2025-01-30T18:02:00,,,9,1,10,false
53,#sales,56,Updated the 03_TechCorp_Prompt_Engineering_Standards.pdf — please review when you get a chance.,2025-01-12T10:21:00,,,,,7,false
54,#proj-data-lake,108,Can we get an ETA on the InsightFlow Analytics SSO fix? DigitalFirst Agency is blocked.,2025-03-24T18:20:00,,,6,,3,false
55,#engineering,48,Can we get an ETA on the TeamSync Collaboration SSO fix? Metropolitan Hospital Network is blocked.,2025-01-22T09:10:00,,25,,,3,false
56,#proj-data-lake,144,Looking for volunteers to review PRs for the Sentinel Security Suite release. Need 2 approvals.,2025-05-03T13:28:00,,"25,52,80",6,,7,false
57,#proj-iam,109,Looking for volunteers to review PRs for the InsightFlow Analytics release. Need 2 approvals.,2025-06-18T21:32:00,,,11,,3,false
58,#proj-iam,120,@channel Heads up: we're seeing increased error rates on TeamSync Collaboration. Investigating now.,2025-02-20T09:50:00,,,11,,1,false
59,#ai-team,105,Looking for volunteers to review PRs for the TechCorp AI Core release. Need 2 approvals.,2025-06-26T16:18:00,13,"25,12,30",,,5,false
60,#general,136,Incident #N/A has been resolved. Root cause was a misconfigured deployment flag.,2025-03-01T21:21:00,,,,,5,false
61,#proj-iam,122,Just published the incident post-mortem. Lessons learned doc is in the shared drive.,2025-03-13T20:43:00,29,,11,9,5,false
62,#proj-rag-pipeline,30,Incident #N/A has been resolved. Root cause was a misconfigured deployment flag.,2025-06-12T19:12:00,,11,1,,2,false
63,#proj-vendor-risk,88,Customer call with ShopLocal Inc. went well. They're excited about the new features.,2025-04-30T16:42:00,7,,18,,3,false
64,#proj-attribution,25,Can we get an ETA on the InsightFlow Analytics SSO fix? DataStream Analytics is blocked.,2025-05-07T16:27:00,56,,24,,5,false
65,#announcements,51,Can we get an ETA on the TeamSync Collaboration SSO fix? FusionWare Labs is blocked.,2025-03-02T08:47:00,,,,10,0,false
66,#proj-vendor-risk,101,Looking for volunteers to review PRs for the TechCorp AI Core release. Need 2 approvals.,2025-01-11T12:44:00,,,18,,3,false
67,#engineering,63,@channel Heads up: we're seeing increased error rates on Sentinel Security Suite. Investigating now.,2025-04-06T20:28:00,,"52,12,2",,,0,false
68,#proj-vendor-risk,12,Great work on the Vendor Risk Assessment milestone! :tada:,2025-06-07T14:45:00,60,"80,7,1",18,17,10,false
69,#random,39,Can we get an ETA on the TeamSync Collaboration SSO fix? CyberShield Security is blocked.,2025-05-14T13:45:00,3,,4,,0,false
70,#proj-vendor-risk,6,@channel Heads up: we're seeing increased error rates on TechCorp AI Core. Investigating now.,2025-06-16T19:49:00,,,18,,1,false
71,#customer-success,51,@channel Heads up: we're seeing increased error rates on TechCorp AI Core. Investigating now.,2025-06-01T17:20:00,54,25,,,3,false
72,#proj-scalability,116,Just deployed the fix for TechCorp AI Core. Monitoring dashboards look clean so far.,2025-06-12T15:41:00,,2,25,,3,false
73,#product,121,Just published the incident post-mortem. Lessons learned doc is in the shared drive.,2025-01-02T11:21:00,,,,35,0,false
74,#proj-chatbot,11,Looking for volunteers to review PRs for the InsightFlow Analytics release. Need 2 approvals.,2025-06-23T10:19:00,,,21,,1,false
75,#ai-team,9,Just deployed the fix for DataVault Backup. Monitoring dashboards look clean so far.,2025-06-18T20:41:00,64,135,,60,5,false
76,#proj-rag-pipeline,100,The InsightFlow Analytics dashboard is way faster after the query optimization. Nice work team!,2025-05-23T13:08:00,70,"7,1,135",1,,0,false
77,#product,62,Customer call with CodeCraft Software went well. They're excited about the new features.,2025-01-17T13:17:00,,,,,7,false
78,#proj-data-lake,116,Updated the 03_TechCorp_Prompt_Engineering_Standards.pdf — please review when you get a chance.,2025-04-13T11:35:00,,,6,,5,false
79,#announcements,132,Incident #N/A has been resolved. Root cause was a misconfigured deployment flag.,2025-03-17T20:25:00,72,,5,,10,false
80,#announcements,12,Looking for volunteers to review PRs for the TeamSync Collaboration release. Need 2 approvals.,2025-01-01T08:41:00,,80,,,2,false
81,#customer-success,138,Can someone from @engineering take a look at the TechCorp AI Core build? It's been failing since this morning.,2025-01-31T12:00:00,47,,,,0,false
