ticket_id,customer_id,product_id,assigned_to,priority,status,subject,created_date,resolved_date
1,28,12,35,Medium,Open,Unable to add new team members,2025-05-06,
2,37,9,27,High,Closed,API response latency above SLA threshold,2024-11-22,2024-11-30
3,36,6,49,Medium,In Progress,Sandbox environment not reflecting production schema,2025-03-02,
4,36,10,43,Medium,In Progress,File upload size limit error,2023-10-08,
5,2,3,34,High,In Progress,API response latency above SLA threshold,2024-09-21,
6,1,3,47,Critical,Resolved,API rate limit exceeded during peak hours,2025-02-01,2025-02-08
7,6,12,29,Medium,Closed,Cannot reset password for admin account,2024-01-01,2024-01-08
8,20,12,26,Medium,In Progress,Data sync delay between modules,2024-07-30,
9,10,3,45,High,Closed,Sandbox environment not reflecting production schema,2023-10-04,2023-10-06
10,32,10,27,Low,Closed,API response latency above SLA threshold,2024-04-01,2024-04-05
11,28,2,40,Medium,In Progress,Mobile app crashing on data refresh,2024-09-10,
12,3,4,30,Critical,Open,Mobile app crashing on data refresh,2024-05-19,
13,14,3,47,Critical,Closed,Sandbox environment not reflecting production schema,2024-10-09,2024-10-11
14,12,3,50,Medium,Resolved,API response latency above SLA threshold,2024-06-03,2024-06-07
15,5,7,51,Low,Closed,SSO certificate about to expire,2025-05-15,2025-05-23
16,37,7,27,Medium,Closed,Multi-factor authentication bypass detected,2023-11-18,2023-11-29
17,2,6,50,Medium,In Progress,Cannot reset password for admin account,2025-01-03,
18,6,7,26,Medium,Closed,Multi-factor authentication bypass detected,2025-03-11,2025-03-21
19,20,12,40,High,Closed,Missing data in weekly analytics report,2024-07-15,2024-07-28
20,34,9,47,High,Open,Integration failing with third-party CRM,2024-12-11,
21,16,2,48,Medium,Closed,Incorrect billing amount on invoice,2025-01-29,2025-02-01
22,12,11,38,Low,Resolved,CSV import silently dropping non-ASCII characters,2024-02-08,2024-02-18
23,42,11,38,High,Closed,Incorrect billing amount on invoice,2023-09-27,2023-10-08
24,31,8,35,Medium,Closed,Rate limit headers inconsistent across endpoints,2023-09-20,2023-09-25
25,5,5,33,Medium,Resolved,Incorrect billing amount on invoice,2024-03-12,2024-03-13
26,42,2,41,Medium,Resolved,Login failure after SSO integration,2023-10-07,2023-10-14
27,29,10,28,Medium,Closed,Data sync delay between modules,2023-08-30,2023-09-09
28,29,2,44,Critical,Open,Search returning incomplete results,2024-07-11,
29,3,4,43,Medium,Closed,Custom field not saving correctly,2023-07-04,2023-07-12
30,24,6,43,High,Closed,Data sync delay between modules,2024-09-11,2024-09-24
31,41,11,36,Medium,Closed,Scheduled task not executing,2024-07-20,2024-07-22
32,17,12,28,Medium,Open,Bulk user import failed with validation errors,2023-08-25,
33,6,10,44,High,Closed,Multi-factor authentication bypass detected,2023-08-18,2023-08-24
34,9,10,36,High,Open,Bulk user import failed with validation errors,2023-07-03,
35,9,11,45,Medium,In Progress,Custom domain SSL certificate verification failing,2023-07-09,
36,6,11,33,Critical,Closed,Search returning incomplete results,2023-08-11,2023-08-17
37,14,6,33,High,Closed,Unable to add new team members,2024-02-16,2024-02-19
38,33,9,43,Low,Closed,Email notification not triggering,2024-01-05,2024-01-11
